Year,Type,GDP_BillionUSD,Inflation_Pct,Population_Millions
2000,Actual,99.48,4.367,154.88
2001,Actual,97.15,3.148,159.27
2002,Actual,97.92,3.29,163.22
2003,Actual,112.37,2.914,167.11
2004,Actual,132.22,7.445,171.29
2005,Actual,145.21,9.063,175.45
2006,Actual,161.87,7.921,179.68
2007,Actual,184.14,7.599,184.49
2008,Actual,202.2,20.286,189.5
2009,Actual,187.34,13.648,194.38
2010,Actual,196.71,12.939,199.24
2011,Actual,230.59,11.916,203.75
2012,Actual,250.11,9.682,207.67
2013,Actual,258.66,7.692,211.07
2014,Actual,271.39,7.189,214.26
2015,Actual,299.96,2.529,217.29
2016,Actual,313.63,3.765,220.14
2017,Actual,339.21,4.085,223.27
2018,Actual,356.13,5.078,226.93
2019,Actual,320.91,10.578,230.8
2020,Actual,300.43,9.74,235.0
2021,Actual,348.52,9.496,239.48
2022,Actual,374.89,19.874,243.7
2023,Actual,336.69,30.768,247.5
2024,Forecast,344.754,32.366,251.334
2025,Forecast,354.963,33.534,255.196
2026,Forecast,365.272,34.683,259.082
2027,Forecast,375.585,35.831,262.99
2028,Forecast,385.898,36.979,266.915
