Year,GDP_USD,Inflation_Pct,Population,Exports_PctGDP,Imports_PctGDP,Literacy_Rate,Unemployment_Pct,Country,CountryCode,GDP_BillionUSD,GDP_GrowthRate_Pct,TradeBalance_PctGDP,Population_Millions,Decade
2000,99484802344.5277,4.36666451291681,154879127,9.62962571560589,11.8303381728595,,0.614,Pakistan,PAK,99.48,,-2.2,154.88,2000s
2001,97145618479.9038,3.14826144590618,159270907,10.6261723730627,12.9510350567841,,0.611,Pakistan,PAK,97.15,-2.35,-2.32,159.27,2000s
2002,97923302809.3537,3.29034472613153,163222549,11.2629668954049,11.8660490591242,,0.615,Pakistan,PAK,97.92,0.8,-0.6,163.22,2000s
2003,112371913740.823,2.91413470059479,167110248,12.1646439105383,12.4855146143016,,0.612,Pakistan,PAK,112.37,14.76,-0.32,167.11,2000s
2004,132216048339.413,7.44462469342739,171286000,11.422970350187,13.3853645017194,,0.598,Pakistan,PAK,132.22,17.66,-1.96,171.29,2000s
2005,145208562960.767,9.06332737030417,175453212,12.2518417522088,17.6266523028659,49.8699989318848,0.583,Pakistan,PAK,145.21,9.83,-5.37,175.45,2000s
2006,161871385506.36,7.92108440058789,179682690,12.5489466265472,20.5007727406812,54.1500015258789,0.582,Pakistan,PAK,161.87,11.48,-7.95,179.68,2000s
2007,184140869997.46,7.59868441050774,184493231,11.6250765592664,19.1628048720082,52.1399993896484,0.398,Pakistan,PAK,184.14,13.76,-7.54,184.49,2000s
2008,202203748583.854,20.2861210929554,189499113,11.87581528062,22.4731455329041,55.5299987792969,0.423,Pakistan,PAK,202.2,9.81,-10.6,189.5,2000s
2009,187337783856.466,13.6477650639761,194376534,12.3909882054304,20.9358990809684,54.8899993896484,0.535,Pakistan,PAK,187.34,-7.35,-8.54,194.38,2000s
2010,196709621849.586,12.9388705634889,199239047,12.6372245592948,19.3517774869368,55.3800010681152,0.653,Pakistan,PAK,196.71,5.0,-6.71,199.24,2010s
2011,230586581059.665,11.9160927116277,203746065,13.4825548617217,18.8800834134221,54.7400016784668,0.796,Pakistan,PAK,230.59,17.22,-5.4,203.75,2010s
2012,250106966104.704,9.68235186055684,207667125,11.8739641473238,19.4450091286838,56.7599983215332,3.667,Pakistan,PAK,250.11,8.47,-7.57,207.67,2010s
2013,258657231672.412,7.69215611899565,211073978,12.1774992040696,18.7127751361147,55.5900001525879,2.954,Pakistan,PAK,258.66,3.42,-6.54,211.07,2010s
2014,271390474857.632,7.18938402847028,214264647,11.1949717426146,18.2748539477852,56.9799995422363,1.827,Pakistan,PAK,271.39,4.92,-7.08,214.26,2010s
2015,299963590534.773,2.52932817254229,217290883,9.97457095124036,16.7136150659843,,3.566,Pakistan,PAK,299.96,10.53,-6.74,217.29,2010s
2016,313630000130.435,3.7651191635658,220138869,8.73671639116568,15.9648616568916,,2.285,Pakistan,PAK,313.63,4.56,-7.23,220.14,2010s
2017,339205534861.1,4.08537368032608,223273967,8.22161134395559,17.2504236583884,59.1300010681152,3.204,Pakistan,PAK,339.21,8.15,-9.03,223.27,2010s
2018,356128166704.921,5.07805725868917,226928892,8.58179960556073,19.044257474073,57.0099983215332,4.083,Pakistan,PAK,356.13,4.99,-10.46,226.93,2010s
2019,320909472770.669,10.5780305672025,230800899,9.3908635386027,19.5147134481005,58.0,4.83,Pakistan,PAK,320.91,-9.89,-10.12,230.8,2010s
2020,300425609817.981,9.74011619320125,235001746,9.29855944234725,17.4177212905341,,5.994,Pakistan,PAK,300.43,-6.38,-8.12,235.0,2020s
2021,348516647445.148,9.49641577285205,239477801,9.05159988878188,17.9788205237729,58.8600006103516,6.338,Pakistan,PAK,348.52,16.01,-8.93,239.48,2020s
2022,374890295666.694,19.8738599646655,243700667,10.5405902721041,22.4907632059279,,5.291,Pakistan,PAK,374.89,7.57,-11.95,243.7,2020s
2023,336686348609.266,30.7681280657005,247504495,10.4939587511564,17.9737337958273,,5.237,Pakistan,PAK,336.69,-10.19,-7.48,247.5,2020s
